index,Name,Hall of Fame Class,Year Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
45,Mike Niles,,1980.0,44.0,5.3,2.6,1.1,3.1,34.8,0.0,0.1,50,0.4,0.8,45.9,0.6,0.7,1.3,0.3,0.2,0.0,0.6,1.4
46,Mike O'Koren,,1980.0,79.0,31.3,11.0,4.6,9.5,48.6,0.1,0.2,27.8,1.7,2.7,63.7,2.3,3.8,6.1,3.2,1.1,0.3,1.9,14.0
47,Mike Woodson,,1980.0,81.0,11.7,4.7,2.0,4.6,44.2,0.0,0.1,20,0.6,0.8,76.6,0.4,0.8,1.2,0.9,0.4,0.1,0.7,4.0
48,Reggie Carter,,1980.0,60.0,8.9,2.8,1.0,3.0,33.0,0.0,0.1,0,0.9,1.2,73.9,0.5,0.7,1.2,1.3,0.4,0.0,0.6,2.7
49,Reggie Johnson,,1980.0,79.0,21.7,10.2,4.3,8.6,49.9,0.0,0.0,0,1.6,2.4,66.3,1.7,2.9,4.5,1.0,0.6,0.6,1.6,10.1
50,Rick Mahorn,,1980.0,52.0,13.4,4.8,2.1,4.2,50.7,0.0,0.0,0,0.5,0.8,67.5,1.3,2.8,4.1,0.5,0.4,0.8,0.7,7.6
51,Rickey Brown,,1980.0,45.0,12.9,4.0,1.8,3.6,51.2,0.0,0.0,0,0.4,0.5,76.2,1.2,2.5,3.7,0.5,0.2,0.3,0.7,6.2
52,Sam Worthen,,1980.0,64.0,14.8,3.7,1.5,3.0,49.5,0.0,0.1,0,0.7,0.9,75.0,0.3,1.5,1.8,1.8,0.9,0.1,1.4,5.1
53,Wayne Robinson,,1980.0,81.0,19.7,7.9,2.9,6.3,46.0,0.0,0.1,0,2.2,3.0,72.9,1.4,2.2,3.6,1.4,0.6,0.3,1.8,7.8
54,Albert King,,1981.0,76.0,22.3,12.1,5.1,10.7,48.2,0.0,0.2,23.1,1.8,2.3,77.8,1.4,2.7,4.1,1.9,0.8,0.5,2.4,11.0
55,Alex Bradley,,1981.0,39.0,8.5,3.5,1.4,2.6,52.4,0.0,0.0,0,0.7,1.2,60.4,0.8,0.9,1.7,0.3,0.3,0.1,0.7,3.4
56,Alton Lister,,1981.0,80.0,14.8,4.5,1.9,3.6,51.9,0.0,0.0,0,0.8,1.5,52.0,1.4,3.5,4.8,1.1,0.2,1.5,1.6,8.0
57,Bobby Cattage,,1981.0,49.0,6.9,3.1,1.2,2.8,44.4,0.0,0.0,0,0.6,0.8,73.2,0.4,1.0,1.5,0.1,0.1,0.0,0.4,2.7
58,Buck Williams,,1981.0,82.0,34.5,15.5,6.3,10.7,58.2,0.0,0.0,0,3.0,4.7,62.4,4.2,8.0,12.3,1.3,1.0,1.0,2.9,21.9
59,Charles Bradley,,1981.0,51.0,6.6,3.0,1.1,2.4,45.1,0.0,0.0,0,0.8,1.2,67.7,0.2,0.5,0.7,0.4,0.3,0.1,0.7,2.1
60,Charlie Davis,,1981.0,54.0,10.6,3.8,1.6,3.4,47.8,0.0,0.0,0,0.6,0.7,81.1,1.0,1.5,2.5,0.6,0.2,0.2,0.8,4.6
61,Dan Schayes,,1981.0,82.0,19.8,7.9,3.1,6.4,48.1,0.0,0.0,0,1.7,2.3,75.7,1.6,3.6,5.2,1.8,0.6,0.9,1.8,10.6
62,Danny Ainge,,1981.0,53.0,10.6,4.1,1.5,4.2,35.7,0.1,0.3,29.4,1.1,1.2,86.2,0.5,0.6,1.1,1.6,0.7,0.1,1.0,3.7
63,Danny Vranes,,1981.0,77.0,14.0,4.9,1.9,3.4,54.6,0.0,0.0,0,1.2,1.9,60.1,0.9,1.6,2.6,0.7,0.4,0.3,0.9,5.6
64,Darnell Valentine,,1981.0,82.0,16.9,6.4,2.3,5.5,41.3,0.0,0.1,0,1.9,2.4,76.0,0.6,1.2,1.8,3.3,1.1,0.0,1.6,7.3
65,Ed Rains,,1981.0,49.0,13.0,3.9,1.6,3.6,43.5,0.0,0.0,0,0.8,1.3,59.4,0.8,0.9,1.6,0.8,0.4,0.0,0.5,3.7
66,Eddie Johnson,,1981.0,74.0,20.5,9.3,4.0,8.7,45.9,0.0,0.1,9.1,1.3,2.0,66.4,1.7,2.6,4.4,1.5,0.7,0.2,1.3,9.3
67,Elston Turner,,1981.0,80.0,25.0,8.3,3.5,8.0,44.1,0.0,0.1,0,1.2,1.7,70.3,1.8,2.0,3.8,2.4,0.9,0.0,1.4,8.9
68,Frank Johnson,,1981.0,79.0,25.7,10.7,4.3,10.3,41.4,0.2,1.0,21.5,1.9,2.6,75.0,0.4,1.4,1.9,4.8,1.0,0.1,2.0,9.7
69,Franklin Edwards,,1981.0,42.0,6.9,3.6,1.5,3.6,43.3,0.0,0.2,0,0.5,0.6,74.1,0.2,0.4,0.6,1.1,0.4,0.1,0.6,3.0
70,Garry Witts,,1981.0,46.0,10.7,2.9,1.1,1.8,58.3,0.0,0.0,50,0.7,0.9,82.5,0.6,0.7,1.3,0.8,0.4,0.1,0.8,3.8
71,Gene Banks,,1981.0,80.0,21.3,9.6,3.9,8.2,47.7,0.0,0.1,0,1.8,2.7,68.4,2.0,3.2,5.1,1.8,0.7,0.2,1.3,11.0
72,Herb Williams,,1981.0,82.0,27.8,11.5,5.0,10.4,47.7,0.0,0.1,28.6,1.5,2.3,67.0,2.1,5.2,7.4,1.7,0.7,2.2,1.7,15.5
73,Howard Wood,,1981.0,42.0,8.1,3.4,1.3,2.9,45.8,0.0,0.0,0,0.8,1.2,65.4,0.5,1.0,1.5,0.2,0.2,0.1,0.4,3.2
74,Isiah Thomas,2000.0,1981.0,72.0,33.8,17.0,6.3,14.8,42.4,0.2,0.8,28.8,4.2,6.0,70.4,0.8,2.1,2.9,7.8,2.1,0.2,4.2,15.6
75,Jay Vincent,,1981.0,81.0,32.4,21.4,8.9,17.9,49.7,0.0,0.0,25,3.6,5.0,71.6,2.2,4.7,7.0,2.2,1.1,0.3,2.4,19.1
76,Jeff Lamp,,1981.0,54.0,11.4,4.6,1.9,3.6,51.0,0.0,0.0,0,0.9,1.1,82.0,0.4,0.7,1.2,0.5,0.3,0.0,0.8,3.8
77,Jeff Ruland,,1981.0,82.0,27.0,14.4,5.1,9.1,56.1,0.0,0.0,33.3,4.2,5.5,75.2,3.1,6.2,9.3,1.6,0.5,0.7,2.9,18.3
78,Jim Brogan,,1981.0,63.0,16.3,6.3,2.6,5.8,45.3,0.1,0.5,28.1,1.0,1.3,72.6,1.0,0.9,1.9,2.5,0.8,0.2,1.3,6.9
79,Jim Smith,,1981.0,72.0,11.9,2.9,1.2,2.3,50.9,0.0,0.0,-,0.5,1.2,45.9,1.0,1.5,2.5,0.6,0.3,0.7,0.7,4.7
80,John Douglas,,1981.0,64.0,16.1,7.0,2.8,6.1,46.5,0.3,0.9,30.5,1.0,1.6,65.7,0.4,1.0,1.4,2.3,0.8,0.1,1.4,6.3
81,Kelly Tripucka,,1981.0,82.0,37.5,21.6,7.8,15.6,49.6,0.1,0.3,22.7,6.0,7.6,79.7,2.7,2.7,5.4,3.3,1.1,0.2,3.4,18.8
82,Kevin Loder,,1981.0,71.0,16.0,6.9,2.9,6.3,46.4,0.0,0.2,0,1.1,1.5,72.0,1.0,1.8,2.7,1.2,0.5,0.4,1.0,7.1
83,Kevin McKenna,,1981.0,36.0,6.6,1.9,0.8,2.4,32.2,0.0,0.1,0,0.3,0.5,64.7,0.5,0.3,0.8,0.4,0.3,0.1,0.6,1.0
84,Kurt Nimphius,,1981.0,63.0,17.2,5.3,2.2,4.7,46.1,0.0,0.0,-,1.0,1.7,58.3,1.5,3.2,4.7,1.0,0.3,1.3,0.9,8.4
85,Kurt Rambis,,1981.0,64.0,17.7,4.6,1.8,3.6,51.8,0.0,0.0,0,0.9,1.8,50.4,1.8,3.6,5.4,0.9,0.9,1.2,1.2,9.2
86,Larry Nance,,1981.0,80.0,14.8,6.6,2.8,5.5,52.1,0.0,0.0,0,0.9,1.5,64.1,1.2,2.0,3.2,1.0,0.5,0.9,1.3,7.8
87,Mark Aguirre,,1981.0,51.0,28.8,18.7,7.5,16.1,46.5,0.5,1.4,35.2,3.3,4.8,68.0,1.7,3.1,4.9,3.2,0.7,0.4,2.6,15.2
88,Mark Radford,,1981.0,43.0,8.6,3.4,1.3,2.3,54.0,0.0,0.1,66.7,0.8,1.6,50.7,0.3,0.4,0.7,1.3,0.4,0.1,1.0,3.0
89,Mike McGee,,1981.0,39.0,9.0,4.9,2.1,4.4,46.5,0.0,0.1,0,0.8,1.4,58.5,0.9,0.4,1.3,0.4,0.5,0.1,0.9,3.3
90,Orlando Woolridge,,1981.0,75.0,15.8,7.3,2.7,5.3,51.3,0.0,0.0,0,1.9,2.7,69.9,1.1,1.9,3.0,1.1,0.3,0.3,1.4,7.2
91,Peter Verhoeven,,1981.0,71.0,17.0,4.9,2.1,4.2,50.3,0.0,0.0,-,0.7,1.0,70.8,1.5,2.1,3.6,0.7,0.6,0.3,0.8,7.0
92,Petur Gudmundsson,,1981.0,68.0,12.4,3.2,1.2,2.4,50.0,0.0,0.0,100,0.8,1.1,68.4,0.8,2.0,2.7,0.9,0.2,0.4,1.1,4.8
93,Ray Blume,,1981.0,49.0,11.1,4.6,2.1,4.5,45.9,0.1,0.4,22.2,0.4,0.6,64.3,0.3,0.6,0.8,1.4,0.5,0.0,1.1,3.6
94,Rolando Blackman,,1981.0,82.0,24.1,13.3,5.4,10.4,51.3,0.0,0.0,25,2.6,3.4,76.8,1.2,1.9,3.1,1.3,0.6,0.4,1.4,11.4
95,Rudy Macklin,,1981.0,79.0,19.2,7.0,2.7,6.1,43.4,0.0,0.0,0,1.7,2.2,77.5,1.4,1.9,3.3,0.6,0.5,0.3,1.4,6.3
96,Samuel Williams,,1981.0,59.0,18.2,6.1,2.6,4.7,55.6,0.0,0.0,-,0.8,1.5,55.1,1.5,3.7,5.2,0.6,0.8,1.3,1.1,10.1
97,Steve Johnson,,1981.0,78.0,22.3,12.8,5.1,8.3,61.3,0.0,0.0,0,2.7,4.2,64.2,1.9,3.9,5.9,1.2,0.5,1.1,2.5,14.3
98,Tom Chambers,,1981.0,81.0,33.1,17.2,6.8,13.0,52.5,0.0,0.0,0,3.5,5.7,62.0,2.6,4.3,6.9,1.8,0.7,0.6,2.7,16.1
99,Bill Garnett,,1982.0,75.0,18.8,6.3,2.3,4.3,53.3,0.0,0.0,0,1.7,2.3,74.1,1.9,3.5,5.4,1.4,0.6,0.9,1.1,10.9
100,Brook Steppe,,1982.0,62.0,9.8,4.0,1.4,2.8,47.7,0.0,0.1,14.3,1.2,1.6,76.0,0.4,0.8,1.2,1.1,0.4,0.1,0.9,3.9
101,Bruce Flowers,,1982.0,53.0,13.2,4.9,2.1,3.9,53.4,0.0,0.0,0,0.8,1.0,77.4,1.3,2.1,3.4,0.9,0.4,0.2,0.8,6.9
